City,Country Code,City ID,Latitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
nouadhibou,mr,2377457.0,20.93,80.6,54.0,68.0,21.92,2018-10-03 22:00:00
butaritari,ki,2110227.0,3.07,84.99,100.0,8.0,6.4,2018-10-03 22:48:17
punta arenas,cl,3874787.0,-53.16,46.4,49.0,20.0,26.4,2018-10-03 22:00:00
qaanaaq,gl,3831208.0,77.48,16.86,100.0,0.0,15.68,2018-10-03 22:48:42
cape town,za,3369157.0,-33.93,57.2,67.0,0.0,13.87,2018-10-03 22:00:00
ushuaia,ar,3833367.0,-54.81,33.8,86.0,75.0,26.4,2018-10-03 22:00:00
rikitea,pf,4030556.0,-23.12,67.98,100.0,48.0,18.03,2018-10-03 22:48:08
pangnirtung,ca,6096551.0,66.15,30.2,54.0,90.0,11.41,2018-10-03 22:00:00
kapaa,us,5848280.0,22.08,86.0,65.0,90.0,10.29,2018-10-03 22:45:00
sitka,us,4267710.0,37.17,90.3,34.0,0.0,7.63,2018-10-03 22:50:50
vaini,to,4032243.0,-21.2,77.0,83.0,90.0,12.75,2018-10-03 22:00:00
cacoal,br,3925212.0,-11.43,75.0,89.0,56.0,2.15,2018-10-03 22:50:50
bredasdorp,za,1015776.0,-34.53,48.2,76.0,0.0,3.36,2018-10-03 22:00:00
houma,us,4328010.0,29.6,90.5,78.0,75.0,11.41,2018-10-03 22:15:00
dakar,sn,2253354.0,14.69,82.4,88.0,36.0,2.24,2018-10-03 22:00:00
diamantino,br,3464724.0,-14.4,78.24,81.0,0.0,3.15,2018-10-03 22:50:52
vila franca do campo,pt,3372472.0,37.72,69.8,77.0,20.0,9.17,2018-10-03 22:30:00
zgorzelec,pl,3080231.0,51.15,47.64,73.0,92.0,11.99,2018-10-03 22:50:52
victoria,sc,241131.0,-4.62,80.6,69.0,76.0,11.41,2018-10-03 22:00:00
shache,cn,1280037.0,38.42,44.22,72.0,48.0,2.48,2018-10-03 22:46:55
cerrito,py,3437868.0,-25.87,67.44,88.0,56.0,6.29,2018-10-03 22:50:53
